Time[Second] 1,Pulse (ID=1) [Arb],Manual Values,
0,298,,
0.01 ,411,,
0.02 ,537,,
0.03 ,667,,
0.04 ,794,,
0.05 ,909,,
0.06 ,977,,
0.07 ,1000,,
0.08 ,1013,,
0.09 ,1019,,
0.1 ,1021,,
0.11 ,1021,,
0.12 ,1016,,
0.13 ,998,,
0.14 ,965,,
0.15 ,919,,
0.16 ,874,,
0.17 ,815,,
0.18 ,755,,
0.19 ,693,,
0.2 ,634,,
0.21 ,575,,
0.22 ,518,,
0.23 ,461,,
0.24 ,416,,
0.25 ,364,,
0.26 ,316,,
0.27 ,274,,
0.28 ,242,,
0.29 ,222,,
0.3 ,211,,
0.31 ,210,,
0.32 ,217,,
0.33 ,225,,
0.34 ,240,,
0.35 ,257,,
0.36 ,274,,
0.37 ,288,,
0.38 ,302,,
0.39 ,311,,
0.4 ,317,,
0.41 ,316,,
0.42 ,314,,
0.43 ,308,,
0.44 ,299,,
0.45 ,285,,
0.46 ,270,,
0.47 ,255,,
0.48 ,241,,
0.49 ,229,,
0.5 ,219,,
0.51 ,207,,
0.52 ,195,,
0.53 ,182,,
0.54 ,170,,
0.55 ,159,,
0.56 ,152,,
0.57 ,147,,
0.58 ,142,,
0.59 ,138,,
0.6 ,135,,
0.61 ,131,,
0.62 ,129,,
0.63 ,126,,
0.64 ,123,,
0.65 ,121,,
0.66 ,121,,
0.67 ,119,,
0.68 ,119,,
0.69 ,119,,
0.7 ,118,,
0.71 ,116,,
0.72 ,113,,
0.73 ,109,,
0.74 ,108,,
0.75 ,108,,
0.76 ,119,,
0.77 ,146,,
0.78 ,196,,
0.79 ,274,,
0.8 ,379,,
0.81 ,502,,
0.82 ,631,,
0.83 ,757,,
0.84 ,850,,
0.85 ,947,,
0.86 ,992,,
0.87 ,1010,,
0.88 ,1017,,
0.89 ,1020,,
0.9 ,1021,,
0.91 ,1015,,
0.92 ,999,,
0.93 ,972,,
0.94 ,927,,
0.95 ,872,,
0.96 ,812,,
0.97 ,748,,
0.98 ,685,,
0.99 ,622,,
1 ,560,,
1.01 ,509,,
1.02 ,448,,
1.03 ,390,,
1.04 ,337,,
1.05 ,292,,
1.06 ,258,,
1.07 ,233,,
1.08 ,221,,
1.09 ,219,,
1.1 ,222,,
1.11 ,232,,
1.12 ,247,,
1.13 ,262,,
1.14 ,279,,
1.15 ,295,,
1.16 ,312,,
1.17 ,326,,
1.18 ,331,,
1.19 ,334,,
1.2 ,331,,
1.21 ,321,,
1.22 ,310,,
1.23 ,295,,
1.24 ,279,,
1.25 ,261,,
1.26 ,242,,
1.27 ,227,,
1.28 ,211,,
1.29 ,197,,
1.3 ,185,,
1.31 ,174,,
1.32 ,165,,
1.33 ,158,,
1.34 ,152,,
1.35 ,145,,
1.36 ,140,,
1.37 ,136,,
1.38 ,133,,
1.39 ,127,,
1.4 ,123,,
1.41 ,119,,
1.42 ,117,,
1.43 ,116,,
1.44 ,115,,
1.45 ,115,,
1.46 ,116,,
